Product Name,Original Price,Discounted Price,Discount Percentage,Customer Rating (out of 5),Number of Reviews,Product URL,Category
Marado Electric Rice Cooker - 5Litres- White,"UGX 140,000","UGX 93,000",34%,3.8,23.0,https://www.jumia.ug/marado-electric-rice-cooker-5litres-white-89840017.html,Kitchen Appliance
Hoffmans Orignal Juice Blender - Black,"UGX 100,000","UGX 57,000",43%,3.9,26.0,https://www.jumia.ug/orignal-juice-blender-black-hoffmans-mpg6070327.html,Kitchen Appliance
SPJ 2 In 1 1.2L Plastic Jar Blender With Plastic Grinder 350w BDX-BCR350W - Cream,"UGX 90,000","UGX 61,000",32%,,10.0,https://www.jumia.ug/spj-2-in-1-1.2l-plastic-jar-blender-with-plastic-grinder-350w-bdx-bcr350w-cream-246171950.html,Kitchen Appliance
"Commercial Double Deep Fryer, 12 Litres - Silver","UGX 350,000","UGX 175,000",50%,3.7,50.0,https://www.jumia.ug/commercial-double-deep-fryer-12-litres-silver-generic-mpg1052627.html,Kitchen Appliance
Geepas 2 Slice Bread Toaster,"UGX 80,000","UGX 58,000",28%,4.5,4.0,https://www.jumia.ug/geepas-2-slice-bread-toaster-214358225.html,Kitchen Appliance
Saachi 2-in-1 1.5L Juice Blender And Grinder – NL-BL-4416 (300W) - Black & White,"UGX 90,000","UGX 63,700",29%,4.2,21.0,https://www.jumia.ug/2-in-1-1.5l-juice-blender-and-grinder-nl-bl-4416-300w-black-white-saachi-mpg5736340.html,Kitchen Appliance
Hoffmans 4 In 1 Multipurpose Fruit Juicer Blender Smoothie Mixer,"UGX 170,000","UGX 123,000",28%,5.0,3.0,https://www.jumia.ug/4-in-1-multipurpose-fruit-juicer-blender-smoothie-mixer-hoffmans-mpg5545685.html,Kitchen Appliance
Hoffmans 55L / 55 liters Electric Oven With Double Hot plates - Black,"UGX 700,000","UGX 330,000",53%,3.4,11.0,https://www.jumia.ug/hoffmans-55l-55-liters-electric-oven-with-double-hotplates-black-155517410.html,Kitchen Appliance
Hoffmans 5 In 1 Multifunction Blender 1.8L - Black,"UGX 180,000","UGX 140,000",22%,3.9,24.0,https://www.jumia.ug/hoffmans-5-in-1-multifunction-blender-1.8l-black-118068266.html,Kitchen Appliance
Genuine 3 Liter / 3L single Commercial Deep Fryer - Silver,"UGX 250,000","UGX 93,000",63%,,13.0,https://www.jumia.ug/generic-genuine-3-liter-3l-single-commercial-deep-fryer-silver-76122173.html,Kitchen Appliance
"Double Electric Deep Fryer With Basket Commercial Deep Fryer Stainless Steel Dual Tank With Lid Adjustable Temperature Knob Oil Filtration For French Fries, Donuts, Chicken, Chips","UGX 260,000","UGX 238,000",8%,3.0,2.0,https://www.jumia.ug/generic-double-electric-deep-fryer-with-basket-commercial-deep-fryer-stainless-steel-dual-tank-with-lid-adjustable-temperature-knob-oil-filtration-for-french-fries-donuts-chicken-chips-246314809.html,Kitchen Appliance
Saachi Double Burner Gas Stove NL-GAS-5220-ST With Automatic Ignition - Silver,"UGX 100,000","UGX 65,000",35%,,11.0,https://www.jumia.ug/saachi-double-burner-gas-stove-nl-gas-5220-st-with-automatic-ignition-silver-125170392.html,Kitchen Appliance
Sokany Juicer And Blender Extractor With Crystal Display Stainless Steel - Multicolor,"UGX 210,000","UGX 111,100",47%,,5.0,https://www.jumia.ug/sokany-juicer-and-blender-extractor-with-crystal-display-stainless-steel-multicolor-250040449.html,Kitchen Appliance
"Sokany 7 Speed Egg Beater, Hand Mixer 180W- Multicolor","UGX 50,000","UGX 30,300",39%,,,https://www.jumia.ug/sokany-7-speed-egg-beater-hand-mixer-180w-multicolor-250039017.html,Kitchen Appliance
